method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc,lrc_pct,orc_pct,status,error
LRC→ORC combo,louvain,0,0.5195418864651266,0.7512914335017138,298,298,1159,1,1.6089351660339162,1.5895573750021867,0.01937779103172943,0,0,0,0,0.25,5,,,0,0,ok,
LRC→ORC combo,louvain,1,0.5195418864651266,0.7512914335017137,298,298,1159,1,1.6047617500298657,1.5895573750021867,0.015204375027678907,0,0,0,0,0.25,5,,,0,0,ok,
LRC→ORC combo,louvain,2,0.5195418864651266,0.7512914335017138,298,298,1159,1,1.6048911670222878,1.5895573750021867,0.0153337920201011,0,0,0,0,0.25,5,,,0,0,ok,
LRC→ORC combo,louvain,3,0.5195418864651266,0.7512914335017138,298,298,1159,1,1.6033516669995151,1.5895573750021867,0.0137942919973284,0,0,0,0,0.25,5,,,0,0,ok,
LRC→ORC combo,louvain,4,0.5195418864651266,0.7512914335017138,298,298,1159,1,1.603362166963052,1.5895573750021867,0.01380479196086526,0,0,0,0,0.25,5,,,0,0,ok,
LRC→ORC combo,louvain,42,0.5195418864651266,0.7512914335017138,298,298,1159,1,1.6056383340037428,1.5895573750021867,0.01608095900155604,0,0,0,0,0.25,5,,,0,0,ok,
LRC→ORC combo,louvain,0,0.5195418864651266,0.7512914335017136,298,298,1135,1,1.4190324169467203,1.404574166983366,0.01445824996335432,0,24,0,2,0.25,5,,-0.1608663698253736,0,2,ok,
LRC→ORC combo,louvain,1,0.5195418864651266,0.7512914335017136,298,298,1135,1,1.4186857920140028,1.404574166983366,0.014111625030636787,0,24,0,2,0.25,5,,-0.1608663698253736,0,2,ok,
LRC→ORC combo,louvain,2,0.5195418864651266,0.7512914335017136,298,298,1135,1,1.420165499963332,1.404574166983366,0.015591332979965955,0,24,0,2,0.25,5,,-0.1608663698253736,0,2,ok,
LRC→ORC combo,louvain,3,0.5195418864651266,0.7512914335017136,298,298,1135,1,1.4189287499757484,1.404574166983366,0.014354582992382348,0,24,0,2,0.25,5,,-0.1608663698253736,0,2,ok,
LRC→ORC combo,louvain,4,0.5195418864651266,0.7512914335017138,298,298,1135,1,1.4183761249878444,1.404574166983366,0.013801958004478365,0,24,0,2,0.25,5,,-0.1608663698253736,0,2,ok,
LRC→ORC combo,louvain,42,0.5190990961508857,0.7511642707009084,298,298,1135,1,1.4186301259906031,1.404574166983366,0.014055959007237107,0,24,0,2,0.25,5,,-0.1608663698253736,0,2,ok,
LRC→ORC combo,louvain,0,0.5195418864651266,0.7512914335017138,298,298,1101,1,1.4257680830196477,1.4115016250289045,0.01426645799074322,0,58,0,5,0.25,5,,-0.13067759650823463,0,5,ok,
LRC→ORC combo,louvain,1,0.5195418864651266,0.7512914335017136,298,298,1101,1,1.4245615000254475,1.4115016250289045,0.01305987499654293,0,58,0,5,0.25,5,,-0.13067759650823463,0,5,ok,
LRC→ORC combo,louvain,2,0.5190990961508857,0.7511642707009086,298,298,1101,1,1.4250190000166185,1.4115016250289045,0.013517374987713993,0,58,0,5,0.25,5,,-0.13067759650823463,0,5,ok,
LRC→ORC combo,louvain,3,0.5195418864651266,0.7512914335017138,298,298,1101,1,1.4276092080399394,1.4115016250289045,0.016107583011034876,0,58,0,5,0.25,5,,-0.13067759650823463,0,5,ok,
LRC→ORC combo,louvain,4,0.5195418864651266,0.7512914335017138,298,298,1101,1,1.4263030840666033,1.4115016250289045,0.014801459037698805,0,58,0,5,0.25,5,,-0.13067759650823463,0,5,ok,
LRC→ORC combo,louvain,42,0.5190990961508857,0.7511642707009085,298,298,1101,1,1.4235120410448872,1.4115016250289045,0.012010416015982628,0,58,0,5,0.25,5,,-0.13067759650823463,0,5,ok,
LRC→ORC combo,louvain,0,0.35184841612923984,0.6257557372654557,219,219,767,1,1.4298563750344329,1.4195085419923998,0.010347833042033017,0,116,0,10,0.25,5,,-0.1115168838798319,0,10,ok,
LRC→ORC combo,louvain,1,0.35184841612923984,0.6257557372654557,219,219,767,1,1.4294981250423007,1.4195085419923998,0.00998958304990083,0,116,0,10,0.25,5,,-0.1115168838798319,0,10,ok,
LRC→ORC combo,louvain,2,0.36712899162447,0.6391525618858686,219,219,767,1,1.4314836250268854,1.4195085419923998,0.011975083034485579,0,116,0,10,0.25,5,,-0.1115168838798319,0,10,ok,
LRC→ORC combo,louvain,3,0.35184841612923984,0.6257557372654557,219,219,767,1,1.432781666982919,1.4195085419923998,0.013273124990519136,0,116,0,10,0.25,5,,-0.1115168838798319,0,10,ok,
LRC→ORC combo,louvain,4,0.35184841612923984,0.6257557372654557,219,219,767,1,1.428848041978199,1.4195085419923998,0.009339499985799193,0,116,0,10,0.25,5,,-0.1115168838798319,0,10,ok,
LRC→ORC combo,louvain,42,0.35184841612923984,0.6257557372654557,219,219,767,1,1.4322420840035193,1.4195085419923998,0.012733542011119425,0,116,0,10,0.25,5,,-0.1115168838798319,0,10,ok,
LRC→ORC combo,louvain,0,0.7157187136809224,0.8179927400425264,244,244,941,1,1.1444079159991816,1.1322807079995982,0.012127207999583334,24,0,2,0,0.25,5,-1.5351397849462365,,2,0,ok,
LRC→ORC combo,louvain,1,0.7157187136809224,0.8179927400425264,244,244,941,1,1.1455329160089605,1.1322807079995982,0.01325220800936222,24,0,2,0,0.25,5,-1.5351397849462365,,2,0,ok,
LRC→ORC combo,louvain,2,0.7157187136809224,0.8179927400425263,244,244,941,1,1.1441720000002533,1.1322807079995982,0.011891292000655085,24,0,2,0,0.25,5,-1.5351397849462365,,2,0,ok,
LRC→ORC combo,louvain,3,0.7157187136809224,0.8179927400425264,244,244,941,1,1.1457912919577211,1.1322807079995982,0.01351058395812288,24,0,2,0,0.25,5,-1.5351397849462365,,2,0,ok,
LRC→ORC combo,louvain,4,0.7157187136809224,0.8179927400425264,244,244,941,1,1.1453127920394763,1.1322807079995982,0.0130320840398781,24,0,2,0,0.25,5,-1.5351397849462365,,2,0,ok,
LRC→ORC combo,louvain,42,0.7157187136809224,0.8179927400425264,244,244,941,1,1.143073541985359,1.1322807079995982,0.010792833985760808,24,0,2,0,0.25,5,-1.5351397849462365,,2,0,ok,
LRC→ORC combo,louvain,0,0.7157187136809224,0.8179927400425263,244,244,922,1,1.140242290974129,1.1259395409724675,0.01430275000166148,24,19,2,2,0.25,5,-1.5351397849462365,-0.18356365488675208,2,2,ok,
LRC→ORC combo,louvain,1,0.7157187136809224,0.8179927400425264,244,244,922,1,1.1365910829626955,1.1259395409724675,0.010651541990227997,24,19,2,2,0.25,5,-1.5351397849462365,-0.18356365488675208,2,2,ok,
LRC→ORC combo,louvain,2,0.7157187136809224,0.8179927400425264,244,244,922,1,1.1370192079921253,1.1259395409724675,0.01107966701965779,24,19,2,2,0.25,5,-1.5351397849462365,-0.18356365488675208,2,2,ok,
LRC→ORC combo,louvain,3,0.7157187136809224,0.8179927400425264,244,244,922,1,1.1379095409647562,1.1259395409724675,0.011969999992288649,24,19,2,2,0.25,5,-1.5351397849462365,-0.18356365488675208,2,2,ok,
LRC→ORC combo,louvain,4,0.7157187136809224,0.8179927400425264,244,244,922,1,1.1407314999378286,1.1259395409724675,0.014791958965361118,24,19,2,2,0.25,5,-1.5351397849462365,-0.18356365488675208,2,2,ok,
LRC→ORC combo,louvain,42,0.7157187136809224,0.8179927400425264,244,244,922,1,1.1379757499671541,1.1259395409724675,0.012036208994686604,24,19,2,2,0.25,5,-1.5351397849462365,-0.18356365488675208,2,2,ok,
LRC→ORC combo,louvain,0,0.6027368804088513,0.7747817451853475,244,244,893,1,1.2171421669772826,1.204762874986045,0.012379291991237551,24,48,2,5,0.25,5,-1.5351397849462365,-0.13123520411815637,2,5,ok,
LRC→ORC combo,louvain,1,0.6027368804088513,0.7747817451853474,244,244,893,1,1.2151680419920012,1.204762874986045,0.010405167005956173,24,48,2,5,0.25,5,-1.5351397849462365,-0.13123520411815637,2,5,ok,
LRC→ORC combo,louvain,2,0.6027368804088513,0.7747817451853475,244,244,893,1,1.2160809580236673,1.204762874986045,0.011318083037622273,24,48,2,5,0.25,5,-1.5351397849462365,-0.13123520411815637,2,5,ok,
LRC→ORC combo,louvain,3,0.6027368804088513,0.7747817451853475,244,244,893,1,1.2155497079365887,1.204762874986045,0.010786832950543612,24,48,2,5,0.25,5,-1.5351397849462365,-0.13123520411815637,2,5,ok,
LRC→ORC combo,louvain,4,0.6027368804088513,0.7747817451853474,244,244,893,1,1.2169593339785933,1.204762874986045,0.012196458992548287,24,48,2,5,0.25,5,-1.5351397849462365,-0.13123520411815637,2,5,ok,
LRC→ORC combo,louvain,42,0.6027368804088513,0.7747817451853475,244,244,893,1,1.2147622919874266,1.204762874986045,0.009999417001381516,24,48,2,5,0.25,5,-1.5351397849462365,-0.13123520411815637,2,5,ok,
LRC→ORC combo,louvain,0,0.48981194076888657,0.6802116470629613,175,175,597,1,1.1531488739419729,1.1453272909857333,0.007821582956239581,24,95,2,10,0.25,5,-1.5351397849462365,-0.09762637944898644,2,10,ok,
LRC→ORC combo,louvain,1,0.48981194076888657,0.6802116470629612,175,175,597,1,1.1530104569974355,1.1453272909857333,0.007683166011702269,24,95,2,10,0.25,5,-1.5351397849462365,-0.09762637944898644,2,10,ok,
LRC→ORC combo,louvain,2,0.48981194076888657,0.6802116470629612,175,175,597,1,1.1547819999977946,1.1453272909857333,0.009454709012061357,24,95,2,10,0.25,5,-1.5351397849462365,-0.09762637944898644,2,10,ok,
LRC→ORC combo,louvain,3,0.48981194076888657,0.6802116470629611,175,175,597,1,1.1537094580125995,1.1453272909857333,0.008382167026866227,24,95,2,10,0.25,5,-1.5351397849462365,-0.09762637944898644,2,10,ok,
LRC→ORC combo,louvain,4,0.5084679399145123,0.6880254471132554,175,175,597,1,1.153254582954105,1.1453272909857333,0.007927291968371719,24,95,2,10,0.25,5,-1.5351397849462365,-0.09762637944898644,2,10,ok,
LRC→ORC combo,louvain,42,0.48981194076888657,0.6802116470629613,175,175,597,1,1.1544712490285747,1.1453272909857333,0.009143958042841405,24,95,2,10,0.25,5,-1.5351397849462365,-0.09762637944898644,2,10,ok,
LRC→ORC combo,louvain,0,0.5975373109143391,0.7640158647053924,244,244,919,1,1.151272416987922,1.1388951250119135,0.012377291976008564,58,0,5,0,0.25,5,-1.371648745519713,,5,0,ok,
LRC→ORC combo,louvain,1,0.6050582815914066,0.7716989678268259,244,244,919,1,1.1492742920527235,1.1388951250119135,0.010379167040809989,58,0,5,0,0.25,5,-1.371648745519713,,5,0,ok,
LRC→ORC combo,louvain,2,0.6050582815914066,0.7716989678268258,244,244,919,1,1.1497259580064565,1.1388951250119135,0.010830832994543016,58,0,5,0,0.25,5,-1.371648745519713,,5,0,ok,
LRC→ORC combo,louvain,3,0.6050582815914066,0.7716989678268259,244,244,919,1,1.152259124966804,1.1388951250119135,0.01336399995489046,58,0,5,0,0.25,5,-1.371648745519713,,5,0,ok,
LRC→ORC combo,louvain,4,0.6018349976939206,0.7708257641081214,244,244,919,1,1.1523098750039935,1.1388951250119135,0.013414749992080033,58,0,5,0,0.25,5,-1.371648745519713,,5,0,ok,
LRC→ORC combo,louvain,42,0.6050582815914066,0.7716989678268259,244,244,919,1,1.149621875025332,1.1388951250119135,0.010726750013418496,58,0,5,0,0.25,5,-1.371648745519713,,5,0,ok,
LRC→ORC combo,louvain,0,0.7141388645425052,0.8131590828725387,244,244,900,1,1.2655002079554833,1.2535063329851255,0.011993874970357865,58,19,5,2,0.25,5,-1.371648745519713,-0.1369746076228057,5,2,ok,
LRC→ORC combo,louvain,1,0.6070196592171683,0.7722307101249271,244,244,900,1,1.2651414159918204,1.2535063329851255,0.011635083006694913,58,19,5,2,0.25,5,-1.371648745519713,-0.1369746076228057,5,2,ok,
LRC→ORC combo,louvain,2,0.7141388645425052,0.8131590828725387,244,244,900,1,1.264299791015219,1.2535063329851255,0.010793458030093461,58,19,5,2,0.25,5,-1.371648745519713,-0.1369746076228057,5,2,ok,
LRC→ORC combo,louvain,3,0.7141388645425052,0.8131590828725387,244,244,900,1,1.2669738329714164,1.2535063329851255,0.013467499986290932,58,19,5,2,0.25,5,-1.371648745519713,-0.1369746076228057,5,2,ok,
LRC→ORC combo,louvain,4,0.7141388645425052,0.8131590828725387,244,244,900,1,1.26949345797766,1.2535063329851255,0.015987124992534518,58,19,5,2,0.25,5,-1.371648745519713,-0.1369746076228057,5,2,ok,
LRC→ORC combo,louvain,42,0.6070196592171683,0.7722307101249268,244,244,900,1,1.2659742920077406,1.2535063329851255,0.012467959022615105,58,19,5,2,0.25,5,-1.371648745519713,-0.1369746076228057,5,2,ok,
