lrc_pct,orc_pct,alpha,iterations,ARI_mean,ARI_std,NMI_mean,NMI_std,Runtime_mean,Runtime_std,V_mean,E_mean,n_runs,ARI,NMI,Runtime
0,0,0.25,5,0.5195418864651266,0.0,0.7512914335017138,4.965068306494546e-17,1.60515670850873,0.00205979431387139,298.0,1159.0,6,0.520 ± 0.000,0.751 ± 0.000,1.61 ± 0.00
0,2,0.25,5,0.5194680880794197,0.00018076838882281028,0.7512702397015794,5.191399603929813e-05,1.4189697849797085,0.0006298878275207532,298.0,1135.0,6,0.519 ± 0.000,0.751 ± 0.000,1.42 ± 0.00
0,5,0.25,5,0.5193942896937129,0.00022865593505558526,0.7512490459014454,6.566658797006798e-05,1.4254621527021907,0.0014297622575066692,298.0,1101.0,6,0.519 ± 0.000,0.751 ± 0.000,1.43 ± 0.00
0,10,0.25,5,0.3543951787117782,0.006238268823231703,0.6279885413688578,0.0054692307489277265,1.4307849863447093,0.0016042473389542657,219.0,767.0,6,0.354 ± 0.006,0.628 ± 0.005,1.43 ± 0.00
2,0,0.25,5,0.7157187136809225,0.0,0.8179927400425263,4.965068306494546e-17,1.1447150763318252,0.0010264774971312258,244.0,941.0,6,0.716 ± 0.000,0.818 ± 0.000,1.14 ± 0.00
2,2,0.25,5,0.7157187136809225,0.0,0.8179927400425263,0.0,1.1384115621331148,0.0016987307890541231,244.0,922.0,6,0.716 ± 0.000,0.818 ± 0.000,1.14 ± 0.00
2,5,0.25,5,0.6027368804088513,0.0,0.7747817451853475,8.599750569898517e-17,1.21594375014926,0.000963252324955222,244.0,893.0,6,0.603 ± 0.000,0.775 ± 0.000,1.22 ± 0.00
2,10,0.25,5,0.49292127395982416,0.0076162797580970045,0.6815139470713435,0.0031899705125590042,1.1537294368220803,0.0007400061058313059,175.0,597.0,6,0.493 ± 0.008,0.682 ± 0.003,1.15 ± 0.00
5,0,0.25,5,0.6032675724956477,0.0030891657325335707,0.7702729166868029,0.003085152417148136,1.150743923673872,0.0013771280318847939,244.0,919.0,6,0.603 ± 0.003,0.770 ± 0.003,1.15 ± 0.00
5,2,0.25,5,0.6784324627673929,0.055316119771200364,0.7995162919566682,0.021135320805182642,1.2662304996532232,0.0018282313221656707,244.0,900.0,6,0.678 ± 0.055,0.800 ± 0.021,1.27 ± 0.00
5,5,0.25,5,0.6099481901251881,0.0,0.7725056238584118,9.930136612989092e-17,1.147765742847696,0.0011324718249792478,244.0,873.0,6,0.610 ± 0.000,0.773 ± 0.000,1.15 ± 0.00
5,10,0.25,5,0.5063061482394123,0.011321847391434506,0.690054166687978,0.004916418513420171,1.1522199374448974,0.0009614252710731453,172.0,579.0,6,0.506 ± 0.011,0.690 ± 0.005,1.15 ± 0.00
10,0,0.25,5,0.6209447882235496,0.00903971891857135,0.7457862104009214,0.003976888661682933,0.7790694583284979,0.002133505417100745,147.0,556.0,6,0.621 ± 0.009,0.746 ± 0.004,0.78 ± 0.00
10,2,0.25,5,0.6109675605057663,0.013969408531637197,0.7395155830966336,0.010436533141894222,0.7784173124625037,0.001465559797714298,147.0,543.0,6,0.611 ± 0.014,0.740 ± 0.010,0.78 ± 0.00
10,5,0.25,5,0.64223666168576,0.010996583978798624,0.7612281710405306,0.009581231742153596,0.7731472298522325,0.000859846945517452,147.0,528.0,6,0.642 ± 0.011,0.761 ± 0.010,0.77 ± 0.00
