method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
Plain Louvain,louvain,0,0.439731570966826,0.7902353481928612,4508,4508,12863,1,0.23467362503288314,0.0,0.23467362503288314,0,0,,,,,,
Plain Leiden,leiden,0,0.4424564027190585,0.7935903485532816,4508,4508,12863,1,0.15042324998648837,0.0,0.15042324998648837,0,0,,,,,,
LRC-only,louvain,0,0.18341935630900222,0.5394197230933874,465,465,1175,1,0.1051529580145143,0.08534370799316093,0.019809250021353364,1302,0,10.0,,,,-0.75,
ORC-only,louvain,0,0.5733203590793602,0.790929914050819,4508,4508,12863,1,27.67340858199168,27.426095540984534,0.24731304100714624,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,0,0.4411849286856432,0.7771713657791137,4060,4060,11206,1,27.822781916940585,27.384671124978922,0.43811079196166247,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
LRC-only + Leiden,leiden,0,0.18160830346067644,0.5353876471617726,465,465,1175,1,0.09978920797584578,0.08534370799316093,0.01444549998268485,1302,0,10.0,,,,-0.75,
ORC-only + Leiden,leiden,0,0.5486412565696277,0.8051005055021859,4508,4508,12863,1,27.573685581970494,27.426095540984534,0.1475900409859605,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,0,0.45713027257113803,0.7816656975719949,4060,4060,11206,1,27.508226957987063,27.384671124978922,0.12355583300814033,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
Plain Louvain,louvain,1,0.4502259037577507,0.7979077355620473,4508,4508,12863,1,0.2780567909940146,0.0,0.2780567909940146,0,0,,,,,,
Plain Leiden,leiden,1,0.44582603224129114,0.7995080876881717,4508,4508,12863,1,0.1487642499851063,0.0,0.1487642499851063,0,0,,,,,,
LRC-only,louvain,1,0.18196779480832845,0.5354779122795785,465,465,1175,1,0.10351674997946247,0.08534370799316093,0.01817304198630154,1302,0,10.0,,,,-0.75,
ORC-only,louvain,1,0.5277617038948866,0.7888301660355322,4508,4508,12863,1,27.670922874007374,27.426095540984534,0.24482733302284032,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,1,0.4544991869617159,0.7723455700013488,4060,4060,11206,1,27.56357812497299,27.384671124978922,0.17890699999406934,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
LRC-only + Leiden,leiden,1,0.18196779480832845,0.5354779122795785,465,465,1175,1,0.10012366698356345,0.08534370799316093,0.01477995899040252,1302,0,10.0,,,,-0.75,
ORC-only + Leiden,leiden,1,0.5831061736946358,0.8056142783848026,4508,4508,12863,1,27.568682290962897,27.426095540984534,0.14258674997836351,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,1,0.4501115730966766,0.7745678742178554,4060,4060,11206,1,27.511545082961675,27.384671124978922,0.12687395798275247,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
Plain Louvain,louvain,2,0.45956364968083535,0.8006404046155892,4508,4508,12863,1,0.23246937501244247,0.0,0.23246937501244247,0,0,,,,,,
Plain Leiden,leiden,2,0.44875166562933444,0.793677957327195,4508,4508,12863,1,0.14449591597076505,0.0,0.14449591597076505,0,0,,,,,,
LRC-only,louvain,2,0.19069748858901966,0.5415170951140349,465,465,1175,1,0.10178720799740404,0.08534370799316093,0.016443500004243106,1302,0,10.0,,,,-0.75,
ORC-only,louvain,2,0.5383728051091663,0.7902414134518472,4508,4508,12863,1,27.680357832985464,27.426095540984534,0.25426229200093076,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,2,0.48038066874271407,0.7865097894513178,4060,4060,11206,1,27.8219064999721,27.384671124978922,0.437235374993179,259,230,2.0,2.0,0.5,5.0,-1.304761904761905,-0.1805757577036415
LRC-only + Leiden,leiden,2,0.18273711263424686,0.537046386752095,465,465,1175,1,0.09999716700986028,0.08534370799316093,0.014653459016699344,1302,0,10.0,,,,-0.75,
