label,size,internal_edges,boundary_edges,boundary_triangles,internal_triangles,conductance,BTD,internal_density
0,64,657,6,10,15283,0.004545454545454545,1.6666666666666667,0.32589285714285715
1,189,741,13,41,4430,0.008695652173913044,3.1538461538461537,0.04170888213441405
2,53,138,47,165,614,0.14551083591331268,3.5106382978723403,0.10014513788098693
3,54,186,6,8,870,0.015873015873015872,1.3333333333333333,0.129979035639413
4,369,1049,44,129,4761,0.02054154995331466,2.9318181818181817,0.015450100153175444
5,52,139,2,0,540,0.007142857142857143,0.0,0.1048265460030166
6,321,858,2,0,3126,0.0011641443538998836,0.0,0.016705607476635513
7,118,284,20,64,876,0.034013605442176874,3.2,0.041141532666956394
8,423,924,15,10,2396,0.008051529790660225,0.6666666666666666,0.010352593190144869
9,179,633,7,9,4286,0.0054988216810683424,1.2857142857142858,0.039733852237775404
10,358,714,7,4,1909,0.004878048780487805,0.5714285714285714,0.0111731843575419
11,109,225,11,14,573,0.02386117136659436,1.2727272727272727,0.0382262996941896
12,208,592,14,72,2626,0.011686143572621035,5.142857142857143,0.027499070977331848
13,74,174,51,142,503,0.12781954887218044,2.784313725490196,0.06442058496853018
14,260,636,14,11,1923,0.01088646967340591,0.7857142857142857,0.01888921888921889
15,385,840,9,13,2122,0.0053285968028419185,1.4444444444444444,0.011363636363636364
16,228,561,12,22,1993,0.010582010582010581,1.8333333333333333,0.02167864595409228
17,123,250,17,21,688,0.03288201160541586,1.2352941176470589,0.03332000533120085
18,225,586,4,0,2088,0.003401360544217687,0.0,0.023253968253968253
19,191,468,23,50,2697,0.023983315954118872,2.1739130434782608,0.025792229264260128
20,110,696,64,370,15660,0.04395604395604396,5.78125,0.11609674728940785
21,79,210,3,2,850,0.0070921985815602835,0.6666666666666666,0.06815968841285297
22,157,436,7,15,1567,0.007963594994311717,2.142857142857143,0.03560346235505471
23,119,357,7,22,1548,0.009708737864077669,3.142857142857143,0.05084745762711865
24,60,103,1,0,171,0.004830917874396135,0.0,0.05819209039548023
