method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
Plain Louvain,louvain,0,0.6315734864416824,0.7692436554356403,1771,1771,42220,1,0.30054658302105963,0.0,0.30054658302105963,0,0,,,,,,
Plain Leiden,leiden,0,0.6279778535329282,0.768722715179787,1771,1771,42220,1,0.18761991697829217,0.0,0.18761991697829217,0,0,,,,,,
LRC-only,louvain,0,0.510718606277319,0.6966317870536695,1104,1104,17954,1,0.7912447499111295,0.6239426250103861,0.16730212490074337,4222,0,10.0,,,,-0.9100579975579974,
ORC-only,louvain,0,0.5840757023302594,0.735776607255559,1771,1771,42220,1,79.44633483397774,79.04824095894583,0.3980938750319183,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,0,0.5836521062466661,0.7202800737606186,1708,1708,40312,1,81.98043674998917,81.59980683401227,0.3806299159768969,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
LRC-only + Leiden,leiden,0,0.5569906838983292,0.7133419094636877,1104,1104,17954,1,0.7137563329888508,0.6239426250103861,0.08981370797846466,4222,0,10.0,,,,-0.9100579975579974,
ORC-only + Leiden,leiden,0,0.5836175277647032,0.734514115824361,1771,1771,42220,1,79.2417983750347,79.04824095894583,0.1935574160888791,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,0,0.5839378728990984,0.7206568343183722,1708,1708,40312,1,81.78297283407301,81.59980683401227,0.18316600006073713,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
Plain Louvain,louvain,1,0.6856889845253884,0.7816044375012615,1771,1771,42220,1,0.34652179200202227,0.0,0.34652179200202227,0,0,,,,,,
Plain Leiden,leiden,1,0.6189375971652098,0.7652824633880253,1771,1771,42220,1,0.18072120903525501,0.0,0.18072120903525501,0,0,,,,,,
LRC-only,louvain,1,0.5503422731298279,0.7026277142624012,1104,1104,17954,1,0.771823792019859,0.6239426250103861,0.14788116700947285,4222,0,10.0,,,,-0.9100579975579974,
ORC-only,louvain,1,0.5840757023302594,0.735776607255559,1771,1771,42220,1,79.48938875098247,79.04824095894583,0.4411477920366451,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,1,0.5836392980336645,0.7204922616582704,1708,1708,40312,1,81.92542237509042,81.59980683401227,0.3256155410781503,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
LRC-only + Leiden,leiden,1,0.5150793611118604,0.7057226705842644,1104,1104,17954,1,0.7105523749487475,0.6239426250103861,0.08660974993836135,4222,0,10.0,,,,-0.9100579975579974,
ORC-only + Leiden,leiden,1,0.5844646296288367,0.734585244251525,1771,1771,42220,1,79.39755433402024,79.04824095894583,0.3493133750744164,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,1,0.5890314472768247,0.7240777215394496,1708,1708,40312,1,81.7857669169316,81.59980683401227,0.18596008291933686,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
Plain Louvain,louvain,2,0.644093814794663,0.7710921386802955,1771,1771,42220,1,0.39596116601023823,0.0,0.39596116601023823,0,0,,,,,,
Plain Leiden,leiden,2,0.6259827169113735,0.7678465969006697,1771,1771,42220,1,0.18355054198764265,0.0,0.18355054198764265,0,0,,,,,,
LRC-only,louvain,2,0.5172963227985626,0.7087520794372382,1104,1104,17954,1,0.791453875019215,0.6239426250103861,0.16751125000882894,4222,0,10.0,,,,-0.9100579975579974,
ORC-only,louvain,2,0.5788224803091553,0.7339760701191496,1771,1771,42220,1,79.45924704195932,79.04824095894583,0.41100608301348984,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,2,0.5834187390661514,0.7212358840181191,1708,1708,40312,1,81.92802545905579,81.59980683401227,0.32821862504351884,845,826,2.0,2.0,0.5,5.0,-1.3630407523510972,-0.08917159247518291
LRC-only + Leiden,leiden,2,0.5296437652418212,0.6946724235612413,1104,1104,17954,1,0.7140167079633102,0.6239426250103861,0.09007408295292407,4222,0,10.0,,,,-0.9100579975579974,
ORC-only + Leiden,leiden,2,0.5835949282667303,0.7339564915405346,1771,1771,42220,1,79.24679783394095,79.04824095894583,0.19855687499511987,0,0,,0.0,0.5,5.0,,
