label,size,internal_edges,boundary_edges,boundary_triangles,internal_triangles,conductance,BTD,internal_density
0,6,0,15,79,0,1.0,5.266666666666667,0.0
1,26,79,141,2177,1129,0.47157190635451507,15.439716312056738,0.24307692307692308
2,107,833,315,4744,12600,0.15901060070671377,15.06031746031746,0.14688767413154646
3,30,110,108,1271,998,0.32926829268292684,11.768518518518519,0.25287356321839083
4,10,27,9,19,132,0.14285714285714285,2.111111111111111,0.6
5,19,27,33,349,126,0.3793103448275862,10.575757575757576,0.15789473684210525
6,10,20,4,6,63,0.09090909090909091,1.5,0.4444444444444444
7,296,8484,566,14173,430408,0.03228014143948899,25.040636042402827,0.19431974347228584
8,35,450,6,19,10699,0.006622516556291391,3.1666666666666665,0.7563025210084033
9,29,28,15,45,160,0.2112676056338028,3.0,0.06896551724137931
10,83,573,208,1000,6538,0.1536189069423929,4.8076923076923075,0.16838084043491036
11,95,362,191,770,1848,0.2087431693989071,4.031413612565445,0.08107502799552072
12,18,131,1,5,1782,0.0038022813688212928,5.0,0.8562091503267973
13,224,5287,36,143,179020,0.0033930254476908575,3.9722222222222223,0.21168321588725175
14,10,29,13,49,196,0.18309859154929578,3.769230769230769,0.6444444444444445
15,10,17,0,0,68,0.0,,0.37777777777777777
16,22,43,908,81577,2549,0.9134808853118712,89.84251101321586,0.18614718614718614
17,19,127,197,4704,2175,0.43680709534368073,23.878172588832488,0.7426900584795322
18,35,102,375,16562,2805,0.6476683937823834,44.165333333333336,0.17142857142857143
19,217,13865,1085,117144,1705647,0.03765399965295853,107.9668202764977,0.5916111964499061
20,44,680,481,16896,29328,0.2612710483432917,35.12681912681913,0.718816067653277
21,19,108,47,1167,1084,0.17870722433460076,24.829787234042552,0.631578947368421
22,14,29,538,72436,1587,0.9026845637583892,134.63940520446096,0.31868131868131866
23,65,130,329,6039,796,0.5585738539898133,18.35562310030395,0.0625
24,15,69,326,13287,2368,0.7025862068965517,40.75766871165644,0.6571428571428571
25,43,152,2,0,640,0.006535947712418301,0.0,0.16832779623477298
26,8,16,2,0,33,0.058823529411764705,0.0,0.5714285714285714
27,18,100,666,19539,4051,0.76905311778291,29.33783783783784,0.6535947712418301
28,24,20,82,775,79,0.6721311475409836,9.451219512195122,0.07246376811594203
29,20,121,79,1230,1408,0.24610591900311526,15.569620253164556,0.6368421052631579
30,12,31,2,10,178,0.03125,5.0,0.4696969696969697
31,17,52,206,4172,609,0.6645161290322581,20.25242718446602,0.38235294117647056
32,25,60,267,6567,1064,0.689922480620155,24.59550561797753,0.2
33,13,52,93,1831,662,0.4720812182741117,19.688172043010752,0.6666666666666666
34,28,162,379,9296,3623,0.5391180654338549,24.527704485488126,0.42857142857142855
35,35,159,358,7372,2578,0.5295857988165681,20.592178770949722,0.2672268907563025
36,32,215,413,11558,6351,0.48991696322657174,27.98547215496368,0.4334677419354839
37,13,26,688,27062,467,0.9297297297297298,39.3343023255814,0.3333333333333333
38,25,260,0,0,5003,0.0,,0.8666666666666667
