seed,lrc_pct,orc_pct,alpha,ARI,NMI,Runtime,V,E,removed_lrc,removed_orc
1,10,15,0.5,0.5225738641785148,0.5275296380398504,5.038224935531616,3497,14839,2005,2619
2,10,15,0.5,0.49061397810074425,0.5038366449008387,4.674236059188843,3494,15031,1999,2653
3,10,15,0.5,0.4779147769175651,0.49044009226238966,4.6560959815979,3493,15002,1973,2648
4,10,15,0.5,0.48534589360373903,0.499857377289529,4.644606113433838,3495,14959,1985,2641
5,10,15,0.5,0.49848834742841563,0.5126267469003444,4.861863374710083,3490,15065,2043,2659
1,10,25,0.5,0.592863129128906,0.5931100133037178,4.5864739418029785,3456,13087,2005,4365
2,10,25,0.5,0.5782886321312567,0.5817669987942886,4.687775135040283,3454,13253,1999,4422
3,10,25,0.5,0.5515993298527445,0.5585955317056143,4.715815782546997,3465,13233,1973,4413
4,10,25,0.5,0.5631896132201621,0.5727350795455833,5.269207000732422,3456,13191,1985,4401
5,10,25,0.5,0.5475287667447183,0.5579992046352913,6.6545610427856445,3454,13274,2043,4432
1,10,35,0.5,0.48042414397514427,0.5036409701886395,5.59517502784729,3297,11313,2005,6110
2,10,35,0.5,0.43891909753061764,0.48977142417846575,5.264956951141357,3262,11440,1999,6190
3,10,35,0.5,0.4846894291467543,0.5139229384319562,4.764364957809448,3289,11431,1973,6178
4,10,35,0.5,0.47643155338489196,0.5007236702397999,4.826201915740967,3324,11402,1985,6161
5,10,35,0.5,0.5186162792287424,0.5515290957332625,4.6568498611450195,3306,11457,2043,6204
1,20,15,0.5,0.452442160394811,0.47690505927794585,4.321527719497681,3494,13178,3958,2326
2,20,15,0.5,0.45416986436201573,0.4716336261535646,4.457276821136475,3492,13378,3942,2362
3,20,15,0.5,0.4739599142477565,0.49068926786103184,4.3591179847717285,3489,13320,3952,2351
4,20,15,0.5,0.48738426398512463,0.5015451199021614,4.726775884628296,3492,13313,3922,2350
5,20,15,0.5,0.45085949372834544,0.46977120684737744,4.391542911529541,3492,13412,3989,2367
1,20,25,0.5,0.5033022018938664,0.5285774961327987,4.626177072525024,3445,11614,3958,3877
2,20,25,0.5,0.541566319420816,0.5524214828345583,4.315337896347046,3426,11793,3942,3936
3,20,25,0.5,0.5612809868764125,0.5741319861955281,4.363013029098511,3449,11747,3952,3918
4,20,25,0.5,0.5286506880354246,0.5493635362270496,4.557301998138428,3438,11739,3922,3916
5,20,25,0.5,0.4347882216517875,0.4744848896266479,4.325393915176392,3440,11816,3989,3945
1,20,35,0.5,0.29597796618488525,0.45350004465936694,4.277384042739868,3171,9970,3958,5427
2,20,35,0.5,0.3381827115858858,0.48683230253889087,4.4260759353637695,3119,10094,3942,5510
3,20,35,0.5,0.3524639409771682,0.4874147490871351,4.172909736633301,3198,10096,3952,5485
4,20,35,0.5,0.29594842180957215,0.4713397355610267,4.318187952041626,3160,10078,3922,5483
5,20,35,0.5,0.35175615418077777,0.47020171267338967,4.834756851196289,3156,10120,3989,5523
1,30,15,0.5,0.2687528246254994,0.3346475258776844,4.322993993759155,3487,11564,5856,2041
2,30,15,0.5,0.295096090885797,0.35197503338925473,4.191964864730835,3481,11694,5922,2065
3,30,15,0.5,0.25148631823806133,0.31723215193614335,4.643250942230225,3487,11621,5952,2051
4,30,15,0.5,0.30887880980507515,0.35951957961673436,4.297467231750488,3490,11615,5921,2050
5,30,15,0.5,0.23095168569943966,0.3072909913110929,4.4551777839660645,3484,11624,6091,2052
1,30,25,0.5,0.14215915372269927,0.3132515891816171,4.328341245651245,3409,10182,5856,3402
2,30,25,0.5,0.20039831237510164,0.34332759661832324,4.035844087600708,3363,10280,5922,3441
3,30,25,0.5,0.15229488985328135,0.32362871613890937,4.36034369468689,3377,10212,5952,3418
4,30,25,0.5,0.15973501561333867,0.33235381519471785,4.02665114402771,3376,10211,5921,3417
5,30,25,0.5,0.2315917570404312,0.365755081563146,3.994328022003174,3366,10214,6091,3420
1,30,35,0.5,0.09796009242260703,0.3246671367045264,4.288241863250732,2660,8389,5856,4763
2,30,35,0.5,0.09708100053034464,0.3308612682323972,4.257110118865967,2601,8448,5922,4817
3,30,35,0.5,0.12045772932765847,0.3620197425106005,4.098032712936401,2606,8407,5952,4785
4,30,35,0.5,0.12322077187675182,0.35647433488291813,3.942108154296875,2649,8437,5921,4783
5,30,35,0.5,0.10246074387586145,0.31368484089104864,4.000205039978027,2570,8378,6091,4787
