seed,lrc_pct,orc_pct,alpha,ARI,NMI,Runtime,V,E,removed_lrc,removed_orc
1,0,25,0.5,0.4440810192815586,0.4627627150851517,5.472970962524414,3414,14576,0,4866
2,0,25,0.5,0.42118024113255914,0.4497078428834546,5.265038967132568,3398,14737,0,4921
3,0,25,0.5,0.3929861687826548,0.4135816102833534,5.119788885116577,3404,14692,0,4906
4,0,25,0.5,0.4232845637274408,0.4512697447021784,5.018923997879028,3423,14675,0,4897
5,0,25,0.5,0.39661064561552584,0.42001301689529397,4.898463010787964,3424,14803,0,4942
1,5,25,0.5,0.49277081998585237,0.5055058539596781,4.812412261962891,3449,13851,983,4620
2,5,25,0.5,0.48760313500350166,0.4986935151205506,4.799490213394165,3438,14008,990,4674
3,5,25,0.5,0.4916009898836213,0.5066316519140273,4.896733999252319,3445,13957,987,4660
4,5,25,0.5,0.49521138142770876,0.5088231262983166,4.787022829055786,3458,13947,983,4651
5,5,25,0.5,0.46132191839956743,0.4788325923862476,4.859559059143066,3425,14050,993,4694
1,10,25,0.5,0.592863129128906,0.5931100133037178,4.498769044876099,3456,13087,2005,4365
2,10,25,0.5,0.5782886321312567,0.5817669987942886,4.675835132598877,3454,13253,1999,4422
3,10,25,0.5,0.5515993298527445,0.5585955317056143,4.68443489074707,3465,13233,1973,4413
4,10,25,0.5,0.5631896132201621,0.5727350795455833,4.741634130477905,3456,13191,1985,4401
5,10,25,0.5,0.5475287667447183,0.5579992046352913,4.649289131164551,3454,13274,2043,4432
1,15,25,0.5,0.6272647765247694,0.6255949717647115,4.487574100494385,3452,12315,3027,4109
2,15,25,0.5,0.6071094985670933,0.6146776962630897,4.579086065292358,3444,12472,3044,4160
3,15,25,0.5,0.6235313188070475,0.6249600887460313,4.518051862716675,3472,12474,2985,4160
4,15,25,0.5,0.6264287714738802,0.6305668771181947,4.66206169128418,3447,12469,2946,4160
5,15,25,0.5,0.587238281103172,0.5977518337670047,4.602236986160278,3451,12546,3016,4188
1,20,25,0.5,0.5033022018938664,0.5285774961327987,4.417901992797852,3445,11614,3958,3877
2,20,25,0.5,0.541566319420816,0.5524214828345583,4.384239196777344,3426,11793,3942,3936
3,20,25,0.5,0.5612809868764125,0.5741319861955281,4.300545930862427,3449,11747,3952,3918
4,20,25,0.5,0.5286506880354246,0.5493635362270496,4.394952774047852,3438,11739,3922,3916
5,20,25,0.5,0.4347882216517875,0.4744848896266479,4.408414840698242,3440,11816,3989,3945
1,25,25,0.5,0.31823241381538037,0.4201000036401115,4.09166407585144,3432,10901,4911,3638
2,25,25,0.5,0.4253220862306859,0.4795600050948574,4.3110949993133545,3385,11020,4943,3686
3,25,25,0.5,0.4073471406465338,0.45821851260174107,4.341890096664429,3421,10996,4940,3671
4,25,25,0.5,0.36307643652690236,0.4338798996737151,4.181359052658081,3412,10951,4950,3659
5,25,25,0.5,0.3452642312087616,0.4170356391876592,4.098449230194092,3404,10982,5091,3670
1,30,25,0.5,0.14215915372269927,0.3132515891816171,4.074239015579224,3409,10182,5856,3402
2,30,25,0.5,0.20039831237510164,0.34332759661832324,3.975884199142456,3363,10280,5922,3441
3,30,25,0.5,0.15229488985328135,0.32362871613890937,4.073011875152588,3377,10212,5952,3418
4,30,25,0.5,0.15973501561333867,0.33235381519471785,4.137875318527222,3376,10211,5921,3417
5,30,25,0.5,0.2315917570404312,0.365755081563146,4.147010087966919,3366,10214,6091,3420
