seed,lrc_pct,orc_pct,alpha,ARI,NMI,Runtime,V,E,removed_lrc,removed_orc
1,20,5,0.5,0.27920945426526117,0.3110094870430814,4.466077089309692,3500,14729,3958,776
2,20,5,0.5,0.23893725767719237,0.27791162373720535,4.533743858337402,3499,14954,3942,788
3,20,5,0.5,0.2655198782202717,0.2976794225966924,4.538421154022217,3499,14888,3952,784
4,20,5,0.5,0.3044098305321704,0.33752143246789185,4.461863279342651,3500,14880,3922,784
5,20,5,0.5,0.2592437725908674,0.2972262526840625,4.515156984329224,3498,14990,3989,789
1,20,10,0.5,0.3712916882592292,0.39755227350008526,4.404184103012085,3500,13954,3958,1551
2,20,10,0.5,0.3814350900741511,0.40578787710282527,4.44911527633667,3497,14167,3942,1575
3,20,10,0.5,0.38903530202790365,0.4108731702744213,4.284839868545532,3497,14104,3952,1568
4,20,10,0.5,0.3947884323571749,0.41762835359048806,4.492696046829224,3499,14097,3922,1567
5,20,10,0.5,0.37655850299691873,0.40242471854899337,4.346512794494629,3497,14201,3989,1578
1,20,15,0.5,0.452442160394811,0.47690505927794585,4.4872870445251465,3494,13178,3958,2326
2,20,15,0.5,0.45416986436201573,0.4716336261535646,4.507108926773071,3492,13378,3942,2362
3,20,15,0.5,0.4739599142477565,0.49068926786103184,4.4884889125823975,3489,13320,3952,2351
4,20,15,0.5,0.48738426398512463,0.5015451199021614,4.34494423866272,3492,13313,3922,2350
5,20,15,0.5,0.45085949372834544,0.46977120684737744,4.408045053482056,3492,13412,3989,2367
1,20,20,0.5,0.5484015819433665,0.5548733412920837,4.410368919372559,3484,12402,3958,3101
2,20,20,0.5,0.5072712524434224,0.5230000306722064,4.364316940307617,3473,12589,3942,3149
3,20,20,0.5,0.5091640601114417,0.5295366095852541,4.302067041397095,3478,12532,3952,3135
4,20,20,0.5,0.5434325890141963,0.55063646142504,4.359602928161621,3475,12528,3922,3133
5,20,20,0.5,0.5300722721280084,0.5438442787492527,4.409312963485718,3479,12622,3989,3156
1,20,25,0.5,0.5033022018938664,0.5285774961327987,4.615041017532349,3445,11614,3958,3877
2,20,25,0.5,0.541566319420816,0.5524214828345583,4.3321757316589355,3426,11793,3942,3936
3,20,25,0.5,0.5612809868764125,0.5741319861955281,4.417580842971802,3449,11747,3952,3918
4,20,25,0.5,0.5286506880354246,0.5493635362270496,4.478670120239258,3438,11739,3922,3916
5,20,25,0.5,0.4347882216517875,0.4744848896266479,4.537109851837158,3440,11816,3989,3945
1,20,30,0.5,0.4329134636815603,0.5022699043343912,4.382075786590576,3357,10811,3958,4652
2,20,30,0.5,0.47027559064480046,0.5337038483352377,4.395648717880249,3310,10957,3942,4723
3,20,30,0.5,0.43839403117390396,0.4943416968463983,4.345526933670044,3363,10935,3952,4702
4,20,30,0.5,0.45740921379335214,0.5160147155518937,4.393586874008179,3350,10926,3922,4699
5,20,30,0.5,0.4953012841736742,0.5324738169295733,4.362992286682129,3346,10984,3989,4734
