config_id,seed,lrc_pct,orc_pct,alpha,ARI,NMI,Runtime,V,E,removed_lrc,removed_orc,status,error
0,1,86.0,18.0,0.6399131657151546,0.28468043802438725,0.4954317119923422,0.5445709228515625,277.0,442.0,3527.0,103.0,ok,
0,2,86.0,18.0,0.6399131657151546,0.37339563529493386,0.5650360722110858,0.5390937328338623,286.0,435.0,3453.0,101.0,ok,
0,3,86.0,18.0,0.6399131657151546,0.27433758176997936,0.44377076766910634,0.5699148178100586,186.0,285.0,3459.0,101.0,ok,
0,4,86.0,18.0,0.6399131657151546,0.2953333359527812,0.5077154074519529,0.5457179546356201,271.0,424.0,3465.0,101.0,ok,
0,5,86.0,18.0,0.6399131657151546,0.29152375038082073,0.515805295306872,0.5235891342163086,305.0,458.0,3540.0,104.0,ok,
1,1,36.0,47.0,0.37050052710804804,0.669500417814641,0.6774379474548211,2.9885571002960205,353.0,1386.0,1480.0,1231.0,ok,
1,2,36.0,47.0,0.37050052710804804,0.7359674065141807,0.7395716096300564,2.8598408699035645,348.0,1361.0,1446.0,1207.0,ok,
1,3,36.0,47.0,0.37050052710804804,0.6325040452656562,0.680114222886286,2.9116110801696777,351.0,1360.0,1450.0,1209.0,ok,
1,4,36.0,47.0,0.37050052710804804,0.6323210375715446,0.629868017066135,2.929023027420044,260.0,916.0,1451.0,1211.0,ok,
1,5,36.0,47.0,0.37050052710804804,0.40867655283975374,0.5108736906954655,2.9130187034606934,264.0,946.0,1486.0,1236.0,ok,
2,1,64.0,35.0,0.790518245853265,0.4535648707482693,0.5627376475378192,1.503547191619873,340.0,950.0,2628.0,515.0,ok,
2,2,64.0,35.0,0.790518245853265,0.582263792958519,0.6074587064809372,1.4857499599456787,338.0,921.0,2576.0,504.0,ok,
2,3,64.0,35.0,0.790518245853265,0.3530353310945903,0.5242917216035019,1.4642319679260254,334.0,923.0,2576.0,507.0,ok,
2,4,64.0,35.0,0.790518245853265,0.44787864827193896,0.5719489960452446,1.4574360847473145,345.0,936.0,2580.0,507.0,ok,
2,5,64.0,35.0,0.790518245853265,0.5081399651410647,0.5766255132179959,1.4595975875854492,346.0,961.0,2634.0,519.0,ok,
3,1,71.0,91.0,0.17735319182304865,-0.16666666666666666,0.02054773550747612,1.1598610877990723,7.0,9.0,2913.0,1080.0,ok,
3,2,71.0,91.0,0.17735319182304865,0.0,0.0,1.1505827903747559,6.0,9.0,2861.0,1050.0,ok,
3,3,71.0,91.0,0.17735319182304865,0.0,0.0,1.0995490550994873,6.0,10.0,2858.0,1060.0,ok,
3,4,71.0,91.0,0.17735319182304865,-0.0975609756097561,0.03725760492843945,1.1653072834014893,10.0,10.0,2861.0,1062.0,ok,
3,5,71.0,91.0,0.17735319182304865,-0.10344827586206896,0.12331038678168961,1.155184268951416,8.0,9.0,2924.0,1083.0,ok,
4,1,86.0,65.0,0.29830276735556926,-0.08247422680412371,0.04993255400015867,0.5933668613433838,8.0,12.0,3527.0,372.0,ok,
4,2,86.0,65.0,0.29830276735556926,0.013793103448275862,0.11966197734713925,0.6258649826049805,11.0,14.0,3453.0,365.0,ok,
4,3,86.0,65.0,0.29830276735556926,-0.1,0.02904310710564901,0.5236248970031738,11.0,17.0,3459.0,365.0,ok,
4,4,86.0,65.0,0.29830276735556926,-0.0125,0.09191121781174037,0.5420291423797607,9.0,12.0,3465.0,363.0,ok,
4,5,86.0,65.0,0.29830276735556926,-0.125,0.007279581019942721,0.5388369560241699,9.0,14.0,3540.0,374.0,ok,
5,1,16.0,97.0,0.9198501605372782,0.0,0.0,5.382905960083008,24.0,28.0,657.0,3339.0,ok,
5,2,16.0,97.0,0.9198501605372782,0.0,0.0,5.270512819290161,15.0,15.0,646.0,3267.0,ok,
5,3,16.0,97.0,0.9198501605372782,0.18412162162162163,0.18681365433881433,5.272351026535034,24.0,30.0,645.0,3276.0,ok,
5,4,16.0,97.0,0.9198501605372782,0.03977724741447892,0.11860076669440141,5.426038026809692,18.0,20.0,648.0,3278.0,ok,
5,5,16.0,97.0,0.9198501605372782,-0.07508532423208192,0.017389323589064618,5.668185234069824,16.0,19.0,660.0,3352.0,ok,
6,1,28.0,64.0,0.7527320970790866,0.5996128232164271,0.6454547294811961,4.21362566947937,344.0,1060.0,1148.0,1889.0,ok,
6,2,28.0,64.0,0.7527320970790866,0.6965597456244363,0.7425846029086155,4.119488000869751,339.0,1037.0,1134.0,1844.0,ok,
6,3,28.0,64.0,0.7527320970790866,0.3110881940715687,0.4702789334953466,3.9966959953308105,233.0,717.0,1132.0,1850.0,ok,
6,4,28.0,64.0,0.7527320970790866,0.6273440422906479,0.6772159964396496,4.339740991592407,336.0,1041.0,1131.0,1854.0,ok,
6,5,28.0,64.0,0.7527320970790866,0.6161187435909753,0.6834345849583398,4.308754920959473,341.0,1062.0,1154.0,1896.0,ok,
7,1,11.0,52.0,0.82589525837557,0.6107379738830747,0.6304954820540848,6.895411968231201,356.0,1751.0,451.0,1897.0,ok,
7,2,11.0,52.0,0.82589525837557,0.6866841963171819,0.703706491471688,6.752807140350342,346.0,1713.0,444.0,1857.0,ok,
7,3,11.0,52.0,0.82589525837557,0.5277040558998347,0.6419590535716763,6.639963865280151,347.0,1718.0,443.0,1862.0,ok,
7,4,11.0,52.0,0.82589525837557,0.6561691611219951,0.685000653981734,7.07227897644043,350.0,1718.0,446.0,1863.0,ok,
7,5,11.0,52.0,0.82589525837557,0.5748958153047308,0.6104923428611995,7.270838975906372,353.0,1758.0,454.0,1904.0,ok,
8,1,66.0,45.0,0.33881245331376186,0.2719035942053639,0.4859787285525555,1.3573601245880127,158.0,421.0,2709.0,626.0,ok,
8,2,66.0,45.0,0.33881245331376186,0.1316266216897951,0.3078743309164794,1.3317201137542725,113.0,281.0,2655.0,612.0,ok,
8,3,66.0,45.0,0.33881245331376186,0.33845666872372193,0.511967213766777,1.287397861480713,266.0,652.0,2667.0,610.0,ok,
8,4,66.0,45.0,0.33881245331376186,0.021234006357522803,0.13968562055981235,1.3252780437469482,97.0,230.0,2658.0,617.0,ok,
8,5,66.0,45.0,0.33881245331376186,0.25949609165378107,0.4740259709539092,1.3240180015563965,204.0,513.0,2716.0,630.0,ok,
9,1,15.0,28.0,0.22633305684340344,0.7590030458570054,0.7206100961118254,4.379121780395508,360.0,2508.0,616.0,976.0,ok,
9,2,15.0,28.0,0.22633305684340344,0.8369412219702205,0.8079861081501963,4.307820081710815,360.0,2454.0,606.0,955.0,ok,
9,3,15.0,28.0,0.22633305684340344,0.7577942572860817,0.7556427200748358,4.207612037658691,360.0,2459.0,608.0,956.0,ok,
9,4,15.0,28.0,0.22633305684340344,0.7839754710894471,0.7686104111941322,4.362803220748901,360.0,2464.0,606.0,958.0,ok,
9,5,15.0,28.0,0.22633305684340344,0.7655820459776995,0.7514067373165029,4.480278968811035,360.0,2518.0,618.0,980.0,ok,
10,1,86.0,53.0,0.43091206068443144,0.0,0.0,0.5625967979431152,10.0,17.0,3527.0,303.0,ok,
10,2,86.0,53.0,0.43091206068443144,-0.045666356011183594,0.14852460861061223,0.5430319309234619,12.0,21.0,3453.0,297.0,ok,
10,3,86.0,53.0,0.43091206068443144,0.0,0.0,0.5806291103363037,20.0,31.0,3459.0,297.0,ok,
10,4,86.0,53.0,0.43091206068443144,0.12307692307692308,0.23612506985405085,0.543283224105835,16.0,21.0,3465.0,296.0,ok,
10,5,86.0,53.0,0.43091206068443144,0.007136485280999108,0.15828929391771188,0.5238709449768066,15.0,29.0,3540.0,305.0,ok,
11,1,27.0,66.0,0.012840482366806572,0.32468122579508657,0.46596148135887644,3.470939874649048,156.0,396.0,1108.0,1975.0,ok,
11,2,27.0,66.0,0.012840482366806572,0.2817282349880035,0.44727493214631586,3.33359694480896,132.0,292.0,1084.0,1934.0,ok,
11,3,27.0,66.0,0.012840482366806572,0.21620585884810367,0.3555187664131177,3.2665390968322754,178.0,501.0,1088.0,1937.0,ok,
11,4,27.0,66.0,0.012840482366806572,0.16299667002404983,0.3408888088425528,3.376391887664795,127.0,253.0,1095.0,1936.0,ok,
11,5,27.0,66.0,0.012840482366806572,0.21060645627886126,0.42559792844714606,3.3639111518859863,168.0,444.0,1112.0,1982.0,ok,
12,1,47.0,45.0,0.3651808011323914,0.2388301426079552,0.4187919371737757,2.275122880935669,189.0,563.0,1934.0,975.0,ok,
12,2,47.0,45.0,0.3651808011323914,0.5544299917263954,0.6178115741281998,2.2121829986572266,268.0,870.0,1890.0,956.0,ok,
12,3,47.0,45.0,0.3651808011323914,0.4692143416832789,0.5931905090568009,2.191532850265503,343.0,1163.0,1893.0,959.0,ok,
12,4,47.0,45.0,0.3651808011323914,0.46395128874351094,0.5588464539764834,2.184825897216797,254.0,754.0,1893.0,961.0,ok,
12,5,47.0,45.0,0.3651808011323914,0.4428572983003454,0.5350249012962714,2.262822151184082,257.0,795.0,1935.0,982.0,ok,
13,1,16.0,19.0,0.5948658710060528,0.80337836442405,0.7677043644951438,5.617073059082031,360.0,2789.0,657.0,654.0,ok,
13,2,16.0,19.0,0.5948658710060528,0.8500035692650185,0.8202042746311952,5.485814094543457,360.0,2729.0,646.0,640.0,ok,
13,3,16.0,19.0,0.5948658710060528,0.7699686960178257,0.7663010944368528,5.514977216720581,360.0,2736.0,645.0,642.0,ok,
13,4,16.0,19.0,0.5948658710060528,0.8103673478349549,0.7800626860497804,5.725945949554443,360.0,2737.0,648.0,643.0,ok,
13,5,16.0,19.0,0.5948658710060528,0.7672988361948287,0.7600662389240833,5.880237102508545,360.0,2799.0,660.0,657.0,ok,
14,1,32.0,43.0,0.2999915037451498,0.683435786980049,0.6652987879471256,3.1796319484710693,357.0,1586.0,1312.0,1199.0,ok,
14,2,32.0,43.0,0.2999915037451498,0.7334239235151652,0.732747650904556,3.065995931625366,358.0,1554.0,1288.0,1173.0,ok,
14,3,32.0,43.0,0.2999915037451498,0.6404005386673525,0.6987463175826094,2.9390180110931396,354.0,1555.0,1292.0,1174.0,ok,
14,4,32.0,43.0,0.2999915037451498,0.29278801956878314,0.3275102564735887,3.1278350353240967,161.0,691.0,1296.0,1175.0,ok,
14,5,32.0,43.0,0.2999915037451498,0.6905705683762018,0.6948236390056657,3.144237995147705,357.0,1595.0,1317.0,1204.0,ok,
15,1,97.0,21.0,0.8746240571921795,0.0,0.0,0.17629194259643555,6.0,5.0,3977.0,4.0,ok,
15,2,97.0,21.0,0.8746240571921795,0.0,0.0,0.18575000762939453,10.0,9.0,3894.0,8.0,ok,
15,3,97.0,21.0,0.8746240571921795,1.0,1.0,0.21247386932373047,9.0,9.0,3902.0,11.0,ok,
15,4,97.0,21.0,0.8746240571921795,0.0,0.0,0.18183398246765137,6.0,6.0,3910.0,4.0,ok,
15,5,97.0,21.0,0.8746240571921795,-0.10344827586206896,0.12331038678168961,0.18345999717712402,8.0,9.0,3992.0,3.0,ok,
