method,algorithm,seed,ARI,NMI,n_eval,V,E,components,runtime_sec,prep_time,community_time,removed_lrc,removed_orc,pct_lrc,pct_orc,alpha,iterations,cutoff_lrc,cutoff_orc
Plain Louvain,louvain,0,0.6500950786933857,0.7878621008726642,1760,1760,5600,1,0.10383204102981836,0.0,0.10383204102981836,0,0,,,,,,
Plain Leiden,leiden,0,0.7173466764262907,0.8141200642295088,1760,1760,5600,1,0.0629291670047678,0.0,0.0629291670047678,0,0,,,,,,
LRC-only,louvain,0,0.7167858602671984,0.8055767180619264,1760,1760,5038,1,0.19174225098686293,0.04537583398632705,0.14636641700053588,562,0,10.0,,,,-1.5777777777777777,
ORC-only,louvain,0,0.6206682857443744,0.7548402964955405,1760,1760,5600,1,8.44020754203666,8.316248750023078,0.12395879201358184,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,0,0.5718163069795913,0.7272643301938643,1759,1759,5378,1,8.336450542032253,8.227492584032007,0.10895795800024644,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
LRC-only + Leiden,leiden,0,0.6877955770105284,0.8055242237698406,1760,1760,5038,1,0.10624250001274049,0.04537583398632705,0.06086666602641344,562,0,10.0,,,,-1.5777777777777777,
ORC-only + Leiden,leiden,0,0.6847519570884012,0.7837306233438811,1760,1760,5600,1,8.379410125024151,8.316248750023078,0.06316137500107288,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,0,0.6570487813439467,0.7744411593978072,1759,1759,5378,1,8.291168124997057,8.227492584032007,0.06367554096505046,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
Plain Louvain,louvain,1,0.6787992028341749,0.7863455434712723,1760,1760,5600,1,0.09715175000019372,0.0,0.09715175000019372,0,0,,,,,,
Plain Leiden,leiden,1,0.7013142129157224,0.8050820004166575,1760,1760,5600,1,0.06206966598983854,0.0,0.06206966598983854,0,0,,,,,,
LRC-only,louvain,1,0.6941463586113724,0.8001083816934144,1760,1760,5038,1,0.15719350101426244,0.04537583398632705,0.11181766702793539,562,0,10.0,,,,-1.5777777777777777,
ORC-only,louvain,1,0.6149189084073794,0.7434295412107267,1760,1760,5600,1,8.443621708021965,8.316248750023078,0.1273729579988867,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,1,0.6260806395499059,0.7488880792216792,1759,1759,5378,1,8.377362043072935,8.227492584032007,0.14986945904092863,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
LRC-only + Leiden,leiden,1,0.7145204710728736,0.8174496537925429,1760,1760,5038,1,0.10588941699825227,0.04537583398632705,0.06051358301192522,562,0,10.0,,,,-1.5777777777777777,
ORC-only + Leiden,leiden,1,0.6430264466324278,0.7612316760041131,1760,1760,5600,1,8.382299582997803,8.316248750023078,0.06605083297472447,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,1,0.6686553439803384,0.7653140217561352,1759,1759,5378,1,8.290223876014352,8.227492584032007,0.06273129198234528,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
Plain Louvain,louvain,2,0.6683814582240226,0.7963231339451919,1760,1760,5600,1,0.8316338749718852,0.0,0.8316338749718852,0,0,,,,,,
Plain Leiden,leiden,2,0.6841027539103698,0.7975424219711028,1760,1760,5600,1,0.06308841600548476,0.0,0.06308841600548476,0,0,,,,,,
LRC-only,louvain,2,0.6845922792635218,0.7953105319454328,1760,1760,5038,1,0.17321895895292982,0.04537583398632705,0.12784312496660277,562,0,10.0,,,,-1.5777777777777777,
ORC-only,louvain,2,0.5790562772957439,0.715477797970326,1760,1760,5600,1,8.470413667033426,8.316248750023078,0.1541649170103483,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,2,0.638123853355026,0.762049064549863,1759,1759,5378,1,8.48397466703318,8.227492584032007,0.25648208300117403,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
LRC-only + Leiden,leiden,2,0.7051975527394612,0.8108499093319079,1760,1760,5038,1,0.10576404194580391,0.04537583398632705,0.06038820795947686,562,0,10.0,,,,-1.5777777777777777,
ORC-only + Leiden,leiden,2,0.6474166270622799,0.7597544303091384,1760,1760,5600,1,8.381696500000544,8.316248750023078,0.06544774997746572,0,0,,0.0,0.5,5.0,,
LRC→ORC combo + Leiden,leiden,2,0.6643803838098769,0.7821776270016211,1759,1759,5378,1,8.291826293047052,8.227492584032007,0.06433370901504532,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
Plain Louvain,louvain,3,0.6664290457146306,0.7819367728993074,1760,1760,5600,1,0.0953997079632245,0.0,0.0953997079632245,0,0,,,,,,
Plain Leiden,leiden,3,0.6783088898994932,0.7958066083172344,1760,1760,5600,1,0.06009204196743667,0.0,0.06009204196743667,0,0,,,,,,
LRC-only,louvain,3,0.6870453402599687,0.7986485391862841,1760,1760,5038,1,0.1354538340237923,0.04537583398632705,0.09007800003746524,562,0,10.0,,,,-1.5777777777777777,
ORC-only,louvain,3,0.5635690387313622,0.7086382988256674,1760,1760,5600,1,8.474591207981575,8.316248750023078,0.1583424579584971,0,0,,0.0,0.5,5.0,,
LRC→ORC combo,louvain,3,0.6412849267896987,0.7632868031392368,1759,1759,5378,1,8.368308209057432,8.227492584032007,0.1408156250254251,112,110,2.0,2.0,0.5,5.0,-1.749041067041067,-0.3025608865510379
LRC-only + Leiden,leiden,3,0.7055494051305962,0.8077673202359187,1760,1760,5038,1,0.10600358399096876,0.04537583398632705,0.06062775000464171,562,0,10.0,,,,-1.5777777777777777,
ORC-only + Leiden,leiden,3,0.6483004423954416,0.7711543720258753,1760,1760,5600,1,8.38121504202718,8.316248750023078,0.06496629200410098,0,0,,0.0,0.5,5.0,,
