label,size,internal_edges,boundary_edges,boundary_triangles,internal_triangles,conductance,BTD,internal_density
0,443,1406,476,2162,4095,0.14476885644768855,4.542016806722689,0.014361153386515224
2,63,128,9,0,249,0.033962264150943396,0.0,0.06554019457245264
3,67,228,144,421,1295,0.24,2.923611111111111,0.10312075983717775
4,21,21,8,1,4,0.16,0.125,0.1
5,116,263,92,141,653,0.1488673139158576,1.5326086956521738,0.03943028485757121
6,42,60,65,140,73,0.35135135135135137,2.1538461538461537,0.06968641114982578
7,101,316,3,3,1091,0.004724409448818898,1.0,0.06257425742574257
8,166,329,34,102,410,0.049132947976878616,3.0,0.02402336619204089
9,41,72,52,120,128,0.2653061224489796,2.3076923076923075,0.08780487804878048
10,30,30,24,33,34,0.2857142857142857,1.375,0.06896551724137931
11,21,26,34,23,24,0.3953488372093023,0.6764705882352942,0.12380952380952381
12,32,71,71,227,286,0.3333333333333333,3.1971830985915495,0.1431451612903226
13,49,108,18,49,291,0.07692307692307693,2.7222222222222223,0.09183673469387756
14,59,96,5,7,127,0.025380710659898477,1.4,0.056107539450613676
15,90,119,2,0,39,0.008333333333333333,0.0,0.02971285892634207
16,24,26,49,122,10,0.48514851485148514,2.489795918367347,0.09420289855072464
17,31,180,36,101,1625,0.09090909090909091,2.8055555555555554,0.3870967741935484
18,23,59,18,43,191,0.1323529411764706,2.388888888888889,0.233201581027668
19,197,438,273,660,1124,0.23759791122715404,2.4175824175824174,0.02268724748782762
20,44,53,1,0,30,0.009345794392523364,0.0,0.056025369978858354
21,20,53,1,0,192,0.009345794392523364,0.0,0.2789473684210526
23,23,37,0,0,48,0.0,,0.14624505928853754
24,57,65,1,0,30,0.007633587786259542,0.0,0.040726817042606514
